tweet_id,rating_numerator,rating_denominator,name,Time,Date,dog_stages,retweet_count,favorite_count,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892420643555336193,13,10,Phineas,16:23:56,2017-08-01,None,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False
892177421306343426,13,10,Tilly,00:17:27,2017-08-01,None,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
891815181378084864,12,10,Archie,00:18:03,2017-07-31,None,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
891689557279858688,13,10,Darla,15:58:51,2017-07-30,None,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,Spatula,0.0408359,False
891327558926688256,12,10,Franklin,16:00:24,2017-07-29,None,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True
891087950875897856,13,10,None,00:08:17,2017-07-29,None,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False
890971913173991426,13,10,Jax,16:27:12,2017-07-28,None,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.341703,True,Border_collie,0.199287,True,Ice_lolly,0.193548,False
890729181411237888,13,10,None,00:22:40,2017-07-28,None,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True
890609185150312448,13,10,Zoey,16:25:51,2017-07-27,None,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_bay_retriever,0.118184,True
890240255349198849,14,10,Cassie,15:59:51,2017-07-26,doggo,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
890006608113172480,13,10,Koda,00:31:25,2017-07-26,None,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
889880896479866881,13,10,Bruno,16:11:53,2017-07-25,None,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,Muzzle,0.0829811,False
889665388333682689,13,10,None,01:55:32,2017-07-25,puppo,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
889638837579907072,12,10,Ted,00:10:02,2017-07-25,None,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
889531135344209921,13,10,Stuart,17:02:04,2017-07-24,puppo,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,Redbone,0.00795775,True
889278841981685760,13,10,Oliver,00:19:32,2017-07-24,None,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
